"ResponseId","dospert_ethic","dospert_financial","dospert_hs","dospert_rec","dospert_inv","dospert_gam","dospert_soc"
"R_5LgUimIlyauBn44",10,11,14,15,7,4,16
"R_7n1rRn9eyOS2Apu",11,14,14,17,8,6,18
"R_3B9SEnr9gmScdZT",20,16,17,16,9,7,16
"R_6CIw46Y5DEhieYD",3,2,5,7,2,0,10
"R_7CHYpI8EkaHQGQI",16,11,15,16,7,4,17
"R_7yoeMH4cTH4yK9r",24,16,13,15,7,9,15
"R_7zDtMIE46cG6gN3",12,11,17,14,5,6,10
"R_5R1HoLDPMo5Qjq8",15,17,20,17,10,7,16
"R_1PHMnWDyU33tkcA",11,13,10,18,7,6,14
"R_7i5kRVat6jVWK6Q",17,14,18,14,7,7,17
"R_1Mm4TUF8lN3RH4h",17,13,15,20,5,8,12
"R_7lcb8GLvIYqVLE0",8,4,0,0,0,4,8
"R_6t9W9dvlvurObRd",3,0,0,6,0,0,2
"R_6a8s74zwjnvRHjz",10,8,11,16,2,6,18
"R_7F4Kd95yZmIuur2",20,11,13,13,7,4,12
"R_7PBbR4M62NpzphA",6,6,11,10,3,3,9
"R_5PDwTdxYhCMiqKl",17,22,22,21,13,9,25
"R_5TKRnfxPPN6kAyR",18,17,18,18,8,9,18
"R_7jW0xD08RZNhLMd",22,21,26,21,6,15,20
"R_5f3Ove9840ufj43",20,19,16,21,8,11,20
"R_1Yycgl6YkfeDV5f",18,16,18,19,8,8,19
"R_1w0LAI68jz3tHhs",22,23,23,25,11,12,18
"R_7HjeA5NVqNHEn4b",26,26,26,27,12,14,29
"R_1JdYMIXBbFnRhMK",17,13,15,14,8,5,16
"R_17TE3uIaNjj5GAS",5,1,11,8,1,0,13
"R_6Y4aGORvjvLXwT2",10,4,9,11,4,0,12
"R_1g0x63j7ZqA3O2L",22,22,13,21,11,11,24
"R_8tPLj3W5d5J65bj",18,18,13,24,10,8,18
"R_5W9wUvrYg4qIh2h",15,13,16,6,9,4,13
"R_5kHdA2EKg3b4n82",24,23,20,27,12,11,26
"R_6fvkdtpITkdmssM",14,10,1,16,8,2,12
"R_1qQxyYO1npUF98B",4,1,9,6,1,0,6
"R_1nblzQ53UCyyChb",22,15,15,20,12,3,20
"R_5pSBX41VIENVGlb",17,16,17,17,8,8,16
"R_3FHZz1SlTev7QDn",19,14,11,20,8,6,17
"R_7PUHaeEXlSIozB4",18,20,11,12,11,9,10
