"ResponseId","bisbas_matrix_1","bisbas_matrix_2","bisbas_matrix_3","bisbas_matrix_4","bisbas_matrix_5","bisbas_matrix_6","bisbas_matrix_7","bisbas_matrix_8","bisbas_matrix_9","bisbas_matrix_10","bisbas_matrix_11","bisbas_matrix_12","bisbas_matrix_13","bisbas_matrix_14","bisbas_matrix_15","bisbas_matrix_16","bisbas_matrix_17","bisbas_matrix_18","bisbas_matrix_19","bisbas_matrix_20","bisbas_reward_res","bisbas_drive","bisbas_fun_seek","bisbas_bis"
"R_5dEluXxdZDk3643",1,3,2,2,1,3,2,2,2,3,2,3,2,3,3,2,3,3,3,2,13,9,11,14
"R_5pJspTFI2ecHa13",2,2,3,3,1,2,2,3,2,3,2,3,3,3,2,3,2,3,3,2,13,10,11,15
"R_5jq8Mn5ZFB4D9Ch",2,2,3,2,1,2,2,1,1,1,1,2,1,2,1,3,3,3,2,2,13,4,6,14
"R_7TcDCk78NjtuyhH",2,3,3,3,1,3,2,2,1,2,1,2,2,2,2,3,3,3,2,3,14,6,8,17
"R_7y2UeJqv33Elk96",3,2,2,2,1,2,0,3,3,3,3,1,1,2,2,3,4,2,3,2,14,12,6,12
"R_7ukudufgKJgWcOR",3,4,2,3,3,3,2,2,2,3,2,3,2,2,3,3,3,3,3,2,14,9,10,20
"R_1K8No2eE39sJWrD",2,2,2,2,2,2,2,2,2,2,2,1,2,3,2,3,3,3,2,3,14,8,8,14
"R_1DCD2E8uJt0KgNn",3,2,2,2,2,3,1,2,2,2,2,3,2,3,3,3,3,3,3,3,15,8,11,15
"R_7gT8lbNyAzSepeV",1,1,1,1,3,1,3,1,1,1,1,1,1,1,1,1,4,4,4,1,14,4,4,11
"R_1IbzQcUIZ4M9Lqh",2,2,2,2,1,2,2,3,3,3,2,2,1,2,2,3,3,2,3,2,13,11,7,13
"R_6Mm1oqYQmmdp9lp",4,3,3,4,1,4,1,4,3,4,3,4,3,3,4,3,4,3,4,3,17,14,14,20
"R_7smWVJpQ51w4vBv",2,3,2,3,1,3,1,3,3,3,3,2,3,3,2,3,3,3,3,3,15,12,10,15
"R_3Eh3FTlsiu0yIEj",3,3,2,3,2,3,1,3,2,2,3,3,2,2,2,3,3,3,3,3,15,10,9,17
"R_11Ql7h4eSbog1D9",2,1,1,1,1,2,0,3,2,3,2,3,3,3,2,3,4,4,3,4,18,10,11,8
"R_5O1djSg5wX2ZTeE",2,2,2,3,2,2,2,2,2,2,2,3,3,3,2,3,3,2,3,3,14,8,11,15
"R_3VD59h7RqZYqask",2,2,2,2,1,2,1,3,3,3,2,2,3,3,2,3,3,3,3,3,15,11,10,12
"R_6kcwU8P0KpikFoh",2,2,3,2,2,3,2,2,2,2,1,2,2,3,2,2,3,3,3,2,13,7,9,16
"R_3WVHRGB2jzC0S41",4,3,4,3,3,3,1,3,3,2,3,3,2,3,2,4,3,4,3,3,17,11,10,21
"R_5mPnRERrrGDSR6Y",2,2,2,3,2,3,1,3,3,3,2,2,2,2,2,3,3,3,3,3,15,11,8,15
"R_6NQdgYBqdshoh00",3,3,2,3,1,3,1,3,3,2,2,2,2,3,2,3,3,3,3,3,15,10,9,16
"R_6IUJwxm2U67iepH",3,3,3,3,2,3,2,2,2,2,2,3,2,2,2,3,3,3,3,3,15,8,9,19
"R_7AYo58CkpJRMdkl",3,2,2,2,2,3,2,3,2,2,3,2,2,2,2,3,3,3,4,3,16,10,8,16
"R_7nT3PFAEZrviE1d",1,2,1,2,1,2,1,4,3,2,3,4,3,4,4,4,3,4,2,3,16,12,15,10
"R_7pJpOnRfelnL3Zq",1,1,2,1,1,1,1,3,2,3,2,1,2,2,3,1,3,2,3,3,12,10,8,8
"R_1Cdbc0YPaonCUCZ",3,2,4,3,2,3,1,2,2,2,2,3,2,3,2,3,3,4,3,3,16,8,10,18
"R_6e8YopyHShDxzxE",2,2,2,2,2,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,15,11,12,15
"R_10xdJGGJABI6P2o",2,3,2,2,1,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,12,8,8,14
"R_710bC1IOA9cqUpH",3,3,3,3,2,3,1,3,3,3,3,3,3,3,2,3,4,3,4,3,17,12,11,18
"R_7qffoiWVZNLKuLx",4,3,4,3,1,4,3,3,4,3,4,3,4,4,3,4,3,4,4,4,19,14,14,22
"R_5ixPTr0uHqI2Sfu",1,1,1,1,1,1,1,3,2,3,2,1,1,2,1,3,3,4,4,3,17,10,5,7
"R_31db3e0KcsC3Hqp",2,2,2,2,1,2,0,3,3,3,2,2,2,2,2,2,2,2,1,2,9,11,8,11
"R_6OV5OalPygdHNAu",1,1,1,1,0,1,1,2,2,3,3,3,3,4,1,4,4,4,4,4,20,10,11,6
"R_3q2t6FfZEe7xoEZ",2,2,3,3,2,2,2,3,3,2,3,3,2,4,3,3,3,3,3,3,15,11,12,16
"R_5IxYYDGpPqOWuKu",2,3,3,3,3,3,1,1,1,1,1,1,1,2,2,3,3,3,3,3,15,4,6,18
"R_3QnqrkQsT6m8gGz",1,1,1,1,3,1,1,3,4,3,3,4,4,4,3,3,3,3,3,3,15,13,15,9
"R_5z1vGEvvn03lT3P",3,4,3,4,2,4,2,3,3,3,3,2,3,3,2,3,4,3,4,3,17,12,10,22
