"ResponseId","mandf_onlineg","mandf_casinog","mandf_cann","mandf_drinks_m","mandf_drinks_f","mandf_drinks_o"
"R_1m2a7udOCDun13J",15,0,1,0,NA,NA
"R_15F4qBHBI8cfkAB",0,0,0,0,NA,NA
"R_5qgj4blxxqm1H3i",4,0,0,0,NA,NA
"R_3dHciQA5t6DOvw3",2,2,30,5,NA,NA
"R_3dMlw1oFPhqtbXI",0,0,0,0,NA,NA
"R_3LbDPvF5pZ04z9T",0,0,0,2,NA,NA
"R_38NVKpny3dgtqyC",0,0,0,NA,0,NA
"R_5EiKfJljrEZ15zh",2,2,30,NA,3,NA
"R_7alPva89UP0o5eG",0,0,0,0,NA,NA
"R_1Pd4ZMroipqVHCj",0,0,0,15,NA,NA
"R_3HRRLg2KU5uPl6x",0,0,0,NA,0,NA
"R_5JgfZUL3aaCOYpO",0,0,0,5,NA,NA
"R_6dGknuFTemF90Vf",0,0,0,NA,16,NA
"R_6finOPOpHNPbG1j",0,0,0,NA,0,NA
"R_1EAsCCQKlzUirN1",7,12,0,NA,0,NA
"R_6zTpgls81lmbP0t",21,9,4,6,NA,NA
"R_11tlkNzOkYrwCUS",0,0,0,NA,0,NA
"R_6dFXBS5Si207siG",0,0,0,0,NA,NA
"R_6F06Glbz5OzTcL7",7,10,10,NA,3,NA
"R_7IrPij1BKJtdzbR",0,0,0,0,NA,NA
"R_72Siro7VW7tRzkZ",0,0,2,NA,1,NA
"R_1yX02JbLMN46ckp",0,0,0,NA,0,NA
"R_5zaS6WQFyO5qPmN",5,2,20,25,NA,NA
"R_6ldSvtUjE6pIjKN",0,0,0,NA,0,NA
"R_7rOG1T8grQYPs8h",11,11,22,11,NA,NA
"R_1AQLRnuKuEWNIkI",0,0,0,NA,0,NA
"R_1I6RIVENtMLqQUB",0,0,0,NA,0,NA
"R_3MXNNpQV2QTJ9Cy",0,0,0,NA,0,NA
"R_5PAwH071nrHgdJX",0,1,0,1,NA,NA
"R_1w4z1tu6mG3geuB",0,0,0,5,NA,NA
"R_5xzz9CXJ4AvzLcl",3,0,4,3,NA,NA
"R_6stlrHG7rffrDXP",0,0,0,0,NA,NA
"R_7iufYs99mW3yj5L",0,0,0,NA,0,NA
"R_5bWpWG1wlKatK7T",0,0,30,10,NA,NA
"R_5lCJPrnlL8uEYfv",2,2,10,NA,20,NA
"R_6GhiklJsQhaWgnf",5,0,3,1,NA,NA
"R_3r0y6BLStOncJIB",0,0,0,NA,0,NA
"R_60GddwPLZm2WSpL",0,0,4,0,NA,NA
"R_60P7JYiwnN3GzGk",0,0,0,20,NA,NA
"R_6LopW5umgokWXAU",0,1,0,2,NA,NA
"R_1pF8QYJFGD4hoCB",0,0,0,NA,0,NA
"R_3CTlFsCWnVhuvNW",20,15,15,NA,20,NA
"R_5H208Tm2byZ91Wb",0,0,0,NA,0,NA
"R_1F37Kmyp23VsB59",0,0,0,NA,0,NA
"R_5Ibmzt5tVhFDd6o",7,7,0,7,NA,NA
"R_5tE0mtDRo0YJ5aV",3,7,5,8,NA,NA
"R_6jiVTlT1R6EqKVe",0,0,2,NA,0,NA
"R_1rIk7td49Pow0et",17,11,8,NA,4,NA
"R_2oEC4HxII5jKLLL",0,0,0,NA,0,NA
"R_5ylvzzWFHrbDGxN",2,1,30,4,NA,NA
"R_1RxHm4OOuJlfpa9",0,0,30,NA,0,NA
"R_3McBmfq2KRDKQEC",0,0,0,NA,10,NA
"R_3ohy07eHUUeYKp2",0,0,0,NA,10,NA
